epoch,acc,loss,val_acc,val_loss
0,0.6235789886552743,0.6923687757112988,0.7493386246539928,0.5303869364122865
1,0.613582908733365,0.6875164175398066,0.613095238725975,0.6194378292119062
2,0.6456291650800506,0.6585543825083365,0.6183862437016119,0.6854196834185767
3,0.6470991768401447,0.6575943561966678,0.625,0.7263336714613374
4,0.6598392787142298,0.6400308415778522,0.6785714288867971,0.6765667282084309
5,0.6717953743396297,0.6342327156192132,0.7023809523809523,0.6068611517154351
6,0.6760094080402168,0.625845837854769,0.6977513227513228,0.6176630157642263
7,0.6837514699416645,0.6225989147384042,0.7255291011598375,0.5866762913724102
8,0.6877695021092868,0.6138194884005269,0.6911375658221977,0.5965194121870414
0,0.6054488435673835,1.699188183588591,0.7777777777777778,1.0115347747449521
1,0.5893767149903549,0.9812596975845806,0.6084656084656085,0.7986754450217757
2,0.5931007448293236,0.7805353440943067,0.5853174603174603,0.7103198747786265
3,0.6136809094472756,0.7252048632529425,0.7242063492063492,0.5398265173826268
4,0.6033908271032518,0.7136547836730266,0.6243386243386243,0.7220974596089156
5,0.6086828694629557,0.7104446898717967,0.4054232804232804,0.86433747773448
6,0.6287730301842415,0.6943019197203046,0.5575396825396826,0.684868521475918
7,0.6541552332535485,0.6616389562877101,0.7017195767195767,0.5853799849590927
8,0.6551352410819287,0.6576570801901285,0.5502645502645502,0.6908325934536242
9,0.6597412779302234,0.6532421981713576,0.43716931216931215,0.7381860468753432
10,0.666503332003291,0.6389554131386187,0.6858465608465608,0.6472264439971359
11,0.6720893767150137,0.6317744587552823,0.628968253968254,0.6506222754559189
0,0.5305762444697656,0.7318103489853363,0.5304232788464379,0.7337639369661846
1,0.6553312420424457,0.655059231537924,0.5727513192822693,0.6385149946288456
2,0.686887494562561,0.6150822084775301,0.6732804267494766,0.5725254640377387
3,0.6904155233475519,0.6064070297521219,0.5919312172465854,0.6462408941258829
4,0.6937475494430001,0.5954196479730819,0.5992063533061396,0.6332503617125214
5,0.7103096818465993,0.5734957958006102,0.7189153473843973,0.49692578006673743
6,0.7234417876277611,0.5625647858562118,0.6911375664529347,0.5519611252048028
7,0.7177577422488581,0.5659800997344899,0.6646825396825397,0.5880574788996782
8,0.7264798123992597,0.5616942265836551,0.6455026492870674,0.6453939969577487
9,0.7320658562698349,0.5456088828554531,0.7288359797820843,0.5125994534088821
10,0.7374558994836408,0.5321410531765898,0.7175925957462775,0.5082023821810566
11,0.7406899257764215,0.5332024998288208,0.7374338633799679,0.5191215506937138
12,0.7587220694260801,0.510682257868551,0.7387566121797713,0.49617208374871147
13,0.7596040763653105,0.5066118985239266,0.7109788362942044,0.5247596808211513
14,0.7618580950516806,0.5079175388284966,0.7314814846351664,0.5028393981317995
15,0.7631321055241446,0.5003735227988589,0.7308201051893688,0.5143615130394225
16,0.7647001171336366,0.4932650177911514,0.7572751306982898,0.47377227570014024
17,0.7659741283304221,0.49400430186408867,0.7400793628717857,0.4946426449629365
18,0.7662681305188845,0.48957593674194294,0.7242063463680328,0.49647357697209354
19,0.7758722070477514,0.4818084463798406,0.7513227497459088,0.4889490714779607
20,0.7751862011157686,0.4819178193375346,0.7493386243386243,0.504624813322037
21,0.7763622112481653,0.47935714612096864,0.7605820112127476,0.4886645747240258
22,0.7750882004252232,0.4803513715730747,0.764550267388581,0.49090492094635335
23,0.7761662087689096,0.4762960394449395,0.7658730187113323,0.48849750416619436
24,0.7798902387480696,0.47618551423202915,0.7625661344124527,0.48624159230126274
0,0.6260290082087007,0.6492135845787709,0.5932539682539683,0.6400600876757707
1,0.6580752645787517,0.6255318424319436,0.6521164021164021,0.5401920225254442
2,0.6576832614544091,0.6185095844573482,0.669973544973545,0.5979592364931864
3,0.6556252450253253,0.6265713203565507,0.5641534391534392,0.6962548689867454
4,0.6697373579222284,0.6166358443158881,0.6104497354497355,0.6794627056550727
5,0.6803214425598579,0.5988867835220941,0.5436507936507936,0.679225331576413
6,0.6822814582283008,0.5976419513457338,0.7037037037037037,0.5802674236751738
7,0.686299490372558,0.5982184300045087,0.6990740740740741,0.5633410243760972
8,0.6927675421403371,0.5801318664262922,0.6011904761904762,0.6164597033192871
9,0.6938455507877713,0.5763557757035932,0.6342592592592593,0.5917282394631199
0,0.6242649941666834,1.2857402104669717,0.4914021164021164,1.1949515185028157
1,0.6269110152647571,1.03691426423053,0.43915343915343913,1.0481560141951949
2,0.6347510780319893,0.8787032790578426,0.591931216931217,0.8716447624579939
3,0.6513132105757796,0.7709319723301988,0.6468253968253969,0.7279107081827032
4,0.648373187008861,0.7151431022135242,0.6785714285714286,0.6257334010941642
5,0.6634653076990966,0.6768265078694902,0.5264550264550265,0.7363515751702445
